Kupec;Št. kartice;Reg. št.vozila;Št. raèuna;BL/ST;Šifra BL/ST;Naziv BL/ST;Šifra pr. mesta;Naziv pr. mesta;Datum nakupa;VCE;Kolièina;Cena brez DDV;Popust;ZNESEK/%;Znesek;Cena brez DDV;% DDV;Znesek DDV;Datum izst. raèuna;Datum zap. raèuna;ID šoferja;Stanje km števca;Potni nalog;Èas trans.
TNT EXPRESS WORLDWIDE, D.O.O.;5415278;TNT-8;0;BL;110201;LETAK PETROL TRAVEL;162;BS KOZINA AC - VZHOD;2.3.2013;3;1;0;;;0;0;20;0;;;;0;;17.19.03
TNT EXPRESS WORLDWIDE, D.O.O.;5415278;TNT-8;0;BL;18;PETROL Q MAX 95;162;BS KOZINA AC - VZHOD;2.3.2013;3;47;2;;;73;1;20;0;;;;0;;17.19.03
TNT EXPRESS WORLDWIDE, D.O.O.;5415252;TNT-7;0;BL;62;PETROL Q MAX DIESEL;162;BS KOZINA AC - VZHOD;7.3.2013;3;68;1;0;EUR/EM;94;1;20;0;;;;0;;07.41.39
TNT EXPRESS WORLDWIDE, D.O.O.;5415252;TNT-7;0;BL;62;PETROL Q MAX DIESEL;162;BS KOZINA AC - VZHOD;12.3.2013;3;64;1;0;EUR/EM;89;1;20;0;;;;0;;22.24.34
TNT EXPRESS WORLDWIDE, D.O.O.;6634638;TNT-301;0;BL;110201;LETAK PETROL TRAVEL;530;BS VOJNIK;15.3.2013;3;1;0;;;0;0;20;0;;;;0;;07.59.07
TNT EXPRESS WORLDWIDE, D.O.O.;6634638;TNT-301;0;BL;62;PETROL Q MAX DIESEL;530;BS VOJNIK;15.3.2013;3;37;1;0;EUR/EM;51;1;20;0;;;;0;;07.59.07
TNT EXPRESS WORLDWIDE, D.O.O.;6634638;TNT-301;0;BL;62;PETROL Q MAX DIESEL;552;BS LAŠKO;4.3.2013;3;39;1;0;EUR/EM;54;1;20;0;;;;0;;10.21.15
TNT EXPRESS WORLDWIDE, D.O.O.;5415294;TNT-9;0;BL;62;PETROL Q MAX DIESEL;558;BS CELJE - LANOVŽ;6.3.2013;3;45;1;0;EUR/EM;62;1;20;0;;;;0;;07.43.46
TNT EXPRESS WORLDWIDE, D.O.O.;5415294;TNT-9;0;BL;62;PETROL Q MAX DIESEL;633;BS CELJE - INTERSPAR;11.3.2013;3;43;1;0;EUR/EM;59;1;20;0;;;;0;;19.54.43
TNT EXPRESS WORLDWIDE, D.O.O.;6292577;TNT-190;0;BL;62;PETROL Q MAX DIESEL;724;BS LOPATA AC - SEVER;8.3.2013;3;53;1;0;EUR/EM;73;1;20;0;;;;0;;09.52.59
